species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
1,Senegalia pruinescens,2.0 cm,wood,LW00SR1,C2023-5231,469,11.48,0.69,84.49,66.05,17.17,6.76,8.86,1.1,21.9,0.75,3.75,0.41
1,Senegalia pruinescens,2.0 cm,wood,LW00SR2,C2023-5232,467,10.65,0.61,83.76,64.7,16.54,9.88,7.99,1.05,15,0.83,4.91,0.31
1,Senegalia pruinescens,4.0 cm,wood,LW00BR1,C2023-5233,468,11.42,0.4,81.17,60.82,15.79,9.57,5.97,1.27,32.8,0.73,4.45,0.21
1,Senegalia pruinescens,4.0 cm,wood,LW00BR2,C2023-5234,468,15.62,0.39,76.93,57.1,13.72,8.78,6.08,1.62,24,0.83,5.88,0.42
2,Marsdenia tenacissima,2.0 cm,wood,LW02SR1,C2023-5235,427,11.88,0.2,79.21,63.54,25.21,41.71,8.92,0.69,17,0.99,1.91,0.26
2,Marsdenia tenacissima,2.0 cm,wood,LW02SR2,C2023-5236,463,8.18,0.23,86.26,69.84,26.92,15.52,7.83,0.79,17.7,0.72,1.78,0.41
2,Marsdenia tenacissima,4.0 cm,wood,LW02BR1,C2023-5237,434,11.47,0.25,76.82,61.29,24.08,38.2,6.66,0.76,20.3,0.98,1.98,0.31
2,Marsdenia tenacissima,4.0 cm,wood,LW02BR2,C2023-5238,436,11.74,0.13,77.77,62.49,24.33,37.09,7.48,0.64,13.9,1,1.91,0.41
3,Piper flaviflorum,2.0 cm,wood,LW03SR1,C2023-5239,430,12.03,0.22,73.7,54.4,16.11,29.06,15.86,1.48,14.3,1.59,0.77,2.08
3,Piper flaviflorum,2.0 cm,wood,LW03SR2,C2023-5240,419,10.78,0.16,79.87,60.97,19.08,28.3,15.33,1.55,10,1.59,0.75,2.29
3,Piper flaviflorum,4.0 cm,wood,LW03BR1,C2023-5241,428,11.6,0.15,81.04,61.74,19.9,27.42,16.45,1.41,13.3,1.5,0.85,0.82
3,Piper flaviflorum,4.0 cm,wood,LW03BR2,C2023-5242,426,12.29,0.23,77.66,59.21,19.07,28.6,16.07,1.54,16.6,1.64,0.72,2.18
29,Celastrus sp2,2.0 cm,wood,LW04SR1-1,C2023-5243,453,6.38,0.63,85.89,63.66,18.7,25.28,8.39,1.31,6.2,0.66,0.54,0.1
29,Celastrus sp2,4.0 cm,wood,LW04BR1-1,C2023-5244,460,5.77,0.52,87.35,64.83,17.51,17.44,7.25,1.2,4.1,0.57,0.52,0.76
29,Celastrus sp2,4.0 cm,wood,LW04BR2-1,C2023-5245,455,6.09,0.44,85.77,64.49,18.16,21.27,8.15,1.4,5.3,0.71,0.54,0.78
4,Celastrus paniculatus,2.0 cm,wood,LW05SR1,C2023-5246,456,6.29,1.79,79.2,65.35,33.43,32.36,7.01,1.38,19.9,0.75,2.77,0.1
4,Celastrus paniculatus,2.0 cm,wood,LW05SR2,C2023-5247,449,6.68,1.22,78.54,65.02,26.27,31.68,6.49,1.56,11.9,0.85,3.49,0.72
4,Celastrus paniculatus,4.0 cm,wood,LW05BR1,C2023-5248,457,7.21,1.26,78.5,65.93,28.38,31.81,7.11,1.26,15.5,1.14,2.29,0.41
4,Celastrus paniculatus,4.0 cm,wood,LW05BR2,C2023-5249,462,7.13,0.66,80.74,67.69,28.52,27.6,6.79,1.32,16.1,1.03,0.73,0.31
5,Celastrus monospermus,2.0 cm,wood,LW06SR1,C2023-5250,456,8.08,0.48,76.69,57.32,18.28,26.49,5.28,0.89,5.8,0.82,1.92,0.31
5,Celastrus monospermus,2.0 cm,wood,LW06SR2,C2023-5251,454,7.4,0.45,78.51,57.27,18.94,28.23,6.13,0.77,3.9,0.79,1.68,0.21
