species_label,species,family,Tag,mesh_size,diameter_class,diameter_1_size_cm,diameter_2_size_cm,diameter_3_size_cm,Bark_thickness_1_mm,Bark_thickness_2_mm,Bark_thickness_3_mm,Bark_thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks
1,Senegalia pruinescens,Fabaceae,L0018,Soil fauna blocked,2.0 cm,2.9,2.95,2.95,1.7,2.06,1.8,2.47,19.5,119.38,15.22,19.34,7.74,14.55
1,Senegalia pruinescens,Fabaceae,L0004,Soil fauna blocked,2.0 cm,3.1,3.05,3.05,1.94,2.67,2.4,2.39,19.5,121.18,15.97,17.92,7.2,12.77
1,Senegalia pruinescens,Fabaceae,L0016,Soil fauna blocked,2.0 cm,3.1,3.05,3.15,2.62,2.64,2.86,2.4,19,130.7,19.3,21.4,6.67,15.68
1,Senegalia pruinescens,Fabaceae,L0026,Soil fauna blocked,2.0 cm,2.9,2.95,2.9,2,2.26,2.48,2.68,19.5,117.19,14.51,17.27,7.02,12.9
1,Senegalia pruinescens,Fabaceae,L0022,Soil fauna blocked,2.0 cm,2.8,2.85,2.9,1.71,1.91,2.25,2.5,20.5,109.15,12.93,14.55,5.84,10.32
1,Senegalia pruinescens,Fabaceae,L0010,Soil fauna blocked,2.0 cm,2.55,2.55,2.55,1.91,2.12,1.9,2.07,19.5,94.54,11.01,11.88,4.75,8.13
1,Senegalia pruinescens,Fabaceae,L0020,Soil fauna blocked,2.0 cm,3,2.95,2.95,2.58,2.19,1.93,2.59,20,119.91,16.01,18.54,7.96,14.14
1,Senegalia pruinescens,Fabaceae,L0030,Soil fauna blocked,2.0 cm,3.15,3.05,3,1.93,2.55,1.93,2.36,19.2,125.88,18.08,20.15,8.66,14.44
1,Senegalia pruinescens,Fabaceae,L0014,Soil fauna blocked,2.0 cm,2.65,2.65,2.67,1.88,1.88,1.61,2.34,19.14,93.65,10.81,13.01,5.48,10.14
1,Senegalia pruinescens,Fabaceae,L0032,Soil fauna blocked,2.0 cm,3,3.1,3,1.54,2.06,2.06,1.81,20,130.26,16.95,18.82,8.4,14.07
1,Senegalia pruinescens,Fabaceae,L0008,Soil fauna blocked,2.0 cm,2.6,2.6,2.75,2.47,2.31,1.96,2.17,19.8,99.79,12.65,13.78,5.36,9.02
1,Senegalia pruinescens,Fabaceae,L0002,Soil fauna blocked,2.0 cm,2.5,2.5,2.5,2.25,2.04,2.15,2.34,20,91.37,10.96,12.14,4.75,8.07
1,Senegalia pruinescens,Fabaceae,L0024,Soil fauna blocked,2.0 cm,3.1,3.1,3,2.12,2.33,2.22,2.51,19.4,130.15,18.07,20.02,8.45,14.26
1,Senegalia pruinescens,Fabaceae,L0006,Soil fauna blocked,2.0 cm,3.1,3,3.05,2.48,2.11,2.43,2.14,20,128.48,16.15,17.91,7.58,12.81
1,Senegalia pruinescens,Fabaceae,L0012,Soil fauna blocked,2.0 cm,3,3,2.9,2.64,2.42,2.35,2.52,19.5,110.52,16.17,18.92,7.76,13.71
1,Senegalia pruinescens,Fabaceae,L0028,Soil fauna blocked,2.0 cm,3.1,3.1,3,2.5,2.42,0.51,2.66,20.5,134.62,16.44,18.78,8.04,13.91
1,Senegalia pruinescens,Fabaceae,L0066,Soil fauna blocked,4.0 cm,5.2,5.4,5.2,3.99,4.41,4.6,4.52,19.08,402.25,58.45,60.75,35,50.06
1,Senegalia pruinescens,Fabaceae,L0056,Soil fauna blocked,4.0 cm,5.2,5.2,5.25,5,4.35,5.6,3.81,19.8,407.74,52.9,53.93,19.52,33.55
1,Senegalia pruinescens,Fabaceae,L0054,Soil fauna blocked,4.0 cm,5.2,5.1,5.1,4.61,4.68,4.49,4.36,19,393.73,54.31,95.12,19.65,33.64
1,Senegalia pruinescens,Fabaceae,L0082,Soil fauna blocked,4.0 cm,5.2,5.1,5,4.65,4.45,5.4,5.07,20,391.95,51.31,52.22,19.43,33.26
1,Senegalia pruinescens,Fabaceae,L0058,Soil fauna blocked,4.0 cm,5.02,5,5,4.15,3.92,5.4,4.44,19.5,366.2,46.46,48.41,16.09,29.02
1,Senegalia pruinescens,Fabaceae,L0076,Soil fauna blocked,4.0 cm,5.25,5.2,5.2,4.35,4.45,4.94,3.89,19,400.88,53.26,56.14,19.57,34.26
1,Senegalia pruinescens,Fabaceae,L0052,Soil fauna blocked,4.0 cm,5.1,4.9,5.1,4.31,4.27,4.56,4.18,20,355.03,46.38,51.1,17.83,32.37
