block ,Tag,log_fresh_weight,subsection,disk_fresh_weight,disk_fresh_volume,disk_dry_weight,disk_dry_volume,Harvest,Time_months,incubation_time,wd_status
1,L2525,12.19,1,0,0,0,0,1,6 months,6,wd_bark
1,L2525,12.19,2,0,0,0,0,1,6 months,6,wd_bark
1,L3563,428.16,1,43.95,52.02,21.4,41.23,1,6 months,6,wd_bark
1,L3563,429.16,2,43.44,50.78,20.23,40.15,1,6 months,6,wd_bark
1,L0203,8.16,1,0,0,0,0,1,6 months,6,wd_bark
1,L0203,8.16,2,0,0,0,0,1,6 months,6,wd_bark
1,L0765,62.77,1,6,6.65,2.65,3.03,1,6 months,6,wd_bark
1,L0765,62.77,2,4.58,5.17,1.39,2.69,1,6 months,6,wd_bark
1,L3255,156.13,1,13.37,14.52,8.71,11.03,1,6 months,6,wd_bark
1,L3255,156.13,2,20,21.4,7.55,11.32,1,6 months,6,wd_bark
1,L2263,27.36,1,2.607,3.68,1.09,3.2,1,6 months,6,wd_bark
1,L2263,27.36,2,3.11,3.96,1.24,3.24,1,6 months,6,wd_bark
1,L0361,16.09,1,0,0,0,0,1,6 months,6,wd_bark
1,L0361,16.09,2,0,0,0,0,1,6 months,6,wd_bark
1,L2005,42,1,0.83,1.4,0.23,1.26,1,6 months,6,wd_bark
1,L2005,42,2,0.83,1.55,0.24,1.23,1,6 months,6,wd_bark
1,L3105,190.72,1,19.12,22.65,9.89,19.77,1,6 months,6,wd_bark
1,L3105,190.72,2,26.22,30.09,13.99,24.51,1,6 months,6,wd_bark
1,L1154,328.23,1,29.13,23.09,10.44,21.08,1,6 months,6,wd_bark
1,L1154,328.23,2,29.34,22.79,13.86,21.07,1,6 months,6,wd_bark
1,L1161,12.95,1,0.91,1.03,0.62,1.06,1,6 months,6,wd_bark
1,L1161,12.95,2,1.19,1.38,0.89,1.31,1,6 months,6,wd_bark
1,L3769,0,1,0,0,0,0,1,6 months,6,wd_bark
1,L3769,0,2,0,0,0,0,1,6 months,6,wd_bark
1,L0603,38.81,1,1.75,2.15,0.91,1.84,1,6 months,6,wd_bark
1,L0603,38.81,2,2.23,2.72,1.09,2.72,1,6 months,6,wd_bark
1,L2471,37.68,1,1.55,2.79,0.78,2.99,1,6 months,6,wd_bark
1,L2471,37.68,2,1.18,2.21,0.51,1.98,1,6 months,6,wd_bark
1,L3531,7.01,1,0.87,0.91,0.62,0.61,1,6 months,6,wd_bark
1,L3531,7.01,2,1.29,1.22,0.87,0.85,1,6 months,6,wd_bark
1,L1657,45.6,1,3.67,4.59,2.43,3.28,1,6 months,6,wd_bark
1,L1657,45.6,2,3.86,4.25,1.93,2.78,1,6 months,6,wd_bark
1,L2413,15.36,1,1.53,3.11,1.14,2.57,1,6 months,6,wd_bark
1,L2413,15.36,2,1.33,2.73,1.06,2.4,1,6 months,6,wd_bark
1,L2229,9.98,1,1.02,1.62,0.45,1.19,1,6 months,6,wd_bark
1,L2229,9.98,2,0.83,1.34,0.44,1.33,1,6 months,6,wd_bark
1,L3717,48.79,1,3.83,4.47,1.74,4.23,1,6 months,6,wd_bark
1,L3717,48.79,2,4.77,5.77,2.26,5.47,1,6 months,6,wd_bark
1,L3381,289.8,1,19.8,34.72,16.46,33.42,1,6 months,6,wd_bark
1,L3381,289.8,2,17.13,30.52,14.17,29.36,1,6 months,6,wd_bark
1,L1855,107.16,1,10.22,9.98,4.29,9.02,1,6 months,6,wd_bark
1,L1855,107.16,2,11.78,11.45,4.67,10.19,1,6 months,6,wd_bark
1,L0077,432.56,1,33.48,32.34,19.57,27.02,1,6 months,6,wd_bark
1,L0077,432.56,2,33.66,29.95,19.88,24.04,1,6 months,6,wd_bark
1,L3331,114.03,1,7.92,12.54,4.95,11.4,1,6 months,6,wd_bark
1,L3331,114.03,2,8.57,13.12,4.82,11.58,1,6 months,6,wd_bark
1,L2373,233.22,1,9.56,11.21,4.79,11.93,1,6 months,6,wd_bark
1,L2373,233.22,2,10.67,11.67,4.67,11.46,1,6 months,6,wd_bark
1,L2151,135.61,1,12.7,8.34,4.47,7.82,1,6 months,6,wd_bark
1,L2151,135.61,2,12.25,8.62,4.11,7.82,1,6 months,6,wd_bark
1,L3407,58.28,1,5.65,5.4,3.39,5.01,1,6 months,6,wd_bark
1,L3407,58.28,2,5.24,5.2,2.97,4.77,1,6 months,6,wd_bark
1,L1605,30.21,1,1.38,2.05,0.86,1.8,1,6 months,6,wd_bark
1,L1605,30.21,2,2.35,3.87,1.45,3.38,1,6 months,6,wd_bark
1,L2619,40.62,1,2.43,3.03,1.1,2.72,1,6 months,6,wd_bark
1,L2619,40.62,2,2.79,3.26,1.24,3.13,1,6 months,6,wd_bark
1,L3467,222.1,1,19.57,19.21,9.65,17.92,1,6 months,6,wd_bark
1,L3467,222.1,2,20.42,20.14,9.86,17.66,1,6 months,6,wd_bark
1,L2669,366.3,1,24.05,23.25,10.33,21.08,1,6 months,6,wd_bark
1,L2669,366.3,2,23.18,22.31,10.22,20.66,1,6 months,6,wd_bark
1,L1573,41.97,1,3.12,3.52,1.62,3.4,1,6 months,6,wd_bark
1,L1573,41.97,2,3.35,4.01,1.73,3.63,1,6 months,6,wd_bark
1,L2811,44.56,1,4.35,4.75,1.33,2.9,1,6 months,6,wd_bark
1,L2811,44.56,2,4.35,4.94,1.47,3.39,1,6 months,6,wd_bark
1,L1523,26.81,1,1.89,2.47,0.93,2.47,1,6 months,6,wd_bark
1,L1523,26.81,2,1.82,2.44,0.94,2.26,1,6 months,6,wd_bark
1,L2869,160.09,1,16.67,15.59,5.67,8.96,1,6 months,6,wd_bark
1,L2869,160.09,2,14.94,14.08,5.35,8.16,1,6 months,6,wd_bark
1,L1711,28.17,1,2.29,3.43,0.93,1.27,1,6 months,6,wd_bark
1,L1711,28.17,2,2.64,3.93,1.08,3.51,1,6 months,6,wd_bark
1,L1331,17.62,1,1.66,2.49,0.67,2.09,1,6 months,6,wd_bark
1,L1331,17.62,2,1.83,2.49,0.76,2.17,1,6 months,6,wd_bark
1,L2765,23.49,1,10.4,10.83,4.61,10.15,1,6 months,6,wd_bark
1,L2765,23.49,2,0,0,0,0,1,6 months,6,wd_bark
1,L0323,0,1,0,0,0,0,1,6 months,6,wd_bark
1,L0323,0,2,0,0,0,0,1,6 months,6,wd_bark
1,L3051,0,1,0,0,0,0,1,6 months,6,wd_bark
1,L3051,0,2,0,0,0,0,1,6 months,6,wd_bark
1,L0665,126.79,1,11.11,14.91,4.33,13.54,1,6 months,6,wd_bark
1,L0665,126.79,2,11.08,14.58,4.32,13.28,1,6 months,6,wd_bark
1,L1967,37.31,1,3.58,3.22,1.99,2.98,1,6 months,6,wd_bark
1,L1967,37.31,2,3.57,3.34,2.07,3.24,1,6 months,6,wd_bark
1,L2053,70.86,1,6.92,7.48,4.4,6.2,1,6 months,6,wd_bark
1,L2053,70.86,2,6.67,6.98,4.37,6.34,1,6 months,6,wd_bark
1,L1809,92.17,1,7.73,9.07,2.97,7.56,1,6 months,6,wd_bark
1,L1809,92.17,2,7.85,9.03,3,7.71,1,6 months,6,wd_bark
1,L3159,44.98,1,3.53,5.01,2.12,4.2,1,6 months,6,wd_bark
1,L3159,44.98,2,3.53,4.43,1.83,3.68,1,6 months,6,wd_bark
1,L3675,225.9,1,17.67,17.97,6,14.53,1,6 months,6,wd_bark
1,L3675,225.9,2,17.75,18.76,5.7,17.95,1,6 months,6,wd_bark
1,L2723,60.23,1,4.68,6,2.01,5.93,1,6 months,6,wd_bark
1,L2723,60.23,2,3.65,4.91,1.54,4.85,1,6 months,6,wd_bark
1,L0007,121.81,1,8.58,9.48,2.48,7.92,1,6 months,6,wd_bark
1,L0007,121.81,2,10.79,11.39,3.53,9.23,1,6 months,6,wd_bark
1,L1373,48.66,1,4.6,5.35,2.34,4.09,1,6 months,6,wd_bark
1,L1373,48.66,2,2.73,3.66,1.27,3.22,1,6 months,6,wd_bark
1,L2573,183.06,1,16.16,28.09,11.19,23.44,1,6 months,6,wd_bark
1,L2573,183.06,2,16.16,19.78,7.35,16.65,1,6 months,6,wd_bark
1,L0551,108.67,1,10.23,12.46,5.15,11.75,1,6 months,6,wd_bark
1,L0551,108.67,2,9.87,11.92,5.15,11.78,1,6 months,6,wd_bark
1,L3556,316.46,1,26.71,38.43,14.83,30.84,1,6 months,6,wd_bark
1,L3556,316.46,2,25.12,36.04,14.24,29.19,1,6 months,6,wd_bark
1,L3124,126.02,1,10.64,12.91,4.54,11.4,1,6 months,6,wd_bark
1,L3124,126.02,2,9.03,10.28,6.95,13.87,1,6 months,6,wd_bark
1,L0516,152.62,1,13.38,15.21,3.89,8.71,1,6 months,6,wd_bark
1,L0516,152.62,2,8.11,9.4,3.72,9.35,1,6 months,6,wd_bark
1,L1724,61.2,1,6.81,7.17,1.88,5.68,1,6 months,6,wd_bark
1,L1724,61.2,2,6.64,7.16,1.93,5.64,1,6 months,6,wd_bark
1,L1512,44.51,1,4.35,4.76,1.64,4.29,1,6 months,6,wd_bark
1,L1512,44.51,2,4.32,4.66,1.76,4.2,1,6 months,6,wd_bark
1,L3630,46.05,1,3.92,5.94,2.31,5.08,1,6 months,6,wd_bark
1,L3630,46.05,2,3.32,5.16,1.86,4.31,1,6 months,6,wd_bark
1,L0604,77.48,1,7.32,9.3,2.78,8.37,1,6 months,6,wd_bark
